2026-08-12 11:16:32,942 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-12 11:25:26,008 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-12 11:25:41,272 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-12 11:32:53,166 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-12 11:34:33,505 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-12 12:14:08,909 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix API
2026-08-12 12:16:56,301 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix API
2026-08-23 12:25:16,493 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix
2026-08-23 12:33:41,542 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix
2026-08-23 12:44:03,567 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix
2026-08-23 12:49:40,943 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix
2026-08-23 12:50:48,161 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix
2026-08-24 22:11:57,293 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix
2026-08-24 22:12:01,062 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix
2026-08-24 22:12:01,173 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix
2026-08-24 22:12:05,182 | INFO     | StudentManagementAPI | lifespan.py:23 | Starting Admitix
2026-08-24 22:20:22,637 | INFO     | StudentManagementAPI | lifespan.py:29 | Stopped Admitix
